datapublished,name,description,provider,url,,,,
2017-03-10T08:06:00.0000000Z,<b>India</b> court convicts 31 over 2012 <b>riot</b> at Maruti Suzuki plant,"A court <b>in India</b> has convicted 31 workers over violent <b>protests</b> at car manufacturer Maruti Suzuki&#39;s main plant outside the capital Delhi in 2012. Another 117 factory workers were acquitted over the <b>protests</b>, in which a senior manager was beaten to death.","[{'name': 'BBC', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_13e55212707f2e343987e8af4351bac7&pid=news'}}, '_type': 'Organization'}]",https://www.bbc.com/news/world-asia-india-39228616,,,,
2018-08-08T19:23:00.0000000Z,"Mumbai will see <b>protests</b>, <b>protests</b> shouldn’t see violence","the anti-British Quit <b>India</b> movement back in 1942 at the Gowalia Tank Maidan, remains an example of this. The last round of <b>protests</b> by the Maratha groups in end-July saw localised but aggressive violence, including <b>riots</b> in many cities including Navi ...","[{'name': 'Hindustan Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_121878103001204f6d54fcb8a7699784&pid=news'}}, '_type': 'Organization'}]",https://www.hindustantimes.com/mumbai-news/mumbai-will-see-protests-protests-shouldn-t-see-violence/story-FuHmXOxzYl3rhnIRDPuYNK.html,,,,
2018-12-04T13:07:00.0000000Z,Four arrested <b>in India</b> over <b>riots</b> sparked by cow slaughter rumours that left two dead,"Authorities in northern <b>India</b> have arrested four people for their involvement ... When police asked them to lift the blockade, they attacked police. “Soon, the <b>protesters</b> outnumbered police,” he said. “They snatched arms, mobiles and cartridges ...","[{'name': 'scmp.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_cf1a9f3235e56cc9198b835c2a251917&pid=news'}}, '_type': 'Organization'}]",https://www.scmp.com/news/asia/south-asia/article/2176382/four-arrested-india-over-riots-sparked-cow-slaughter-rumours,,,,
2017-01-25T13:07:00.0000000Z,"Trump may find kindred spirit <b>in India</b>’s <b>Modi, another tough-talking nationalist</b>","“There’s a lot of uncertainty in the air,” said Milan Vaishnav, senior fellow at the Carnegie Endowment for International Peace and the author of a recent book on <b>politics</b> ... <b>India</b> became immersed in a debate over patriotism and free speech after ...","[{'name': 'The Washington Post', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_04bc0c1c424cf64dec14a2982f0360ef&pid=news'}}, '_type': 'Organization'}]",https://www.washingtonpost.com/world/asia_pacific/trump-may-find-kindred-spirit-in-indias-modi-another-tough-talking-nationalist/2017/01/25/9a97641e-11eb-4c9f-9b38-a5deab2681d7_story.html,,,,
2019-03-19T09:26:00.0000000Z,"Goa Governor allowing BJP to indulge in horsetrading, claims Cong","Kawthankar further urged President Ram Nath Kovind to dismiss Sinha from the post of Governor while equating the <b>political</b> ... [<b>India</b>], March 19 (ANI): Uttar Pradesh Chief Minister Yogi Adityanath on Tuesday claimed that there has not been a single <b>riot</b> ...","[{'name': 'Asian News International', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_e3c66d549133a2d1ac6818b3eb52e738&pid=news'}}, '_type': 'Organization'}]",https://www.aninews.in/news/national/politics/goa-governor-allowing-bjp-to-indulge-in-horsetrading-claims-cong20190319021644/,,,,
2018-11-25T10:37:00.0000000Z,Tens of thousands <b>protest</b> <b>in India</b> for controversial Hindu temple,"Ayodhya (<b>India</b>) (AFP) - Tens of thousands of Hindu hardliners rallied Sunday for a temple to be built at a disputed Indian holy site, where an ancient mosque was razed in 1992 sparking deadly <b>riots</b>. Huge crowds of saffron-clad <b>protesters</b>, some waving ...","[{'name': 'Yahoo News', '_type': 'Organization'}]",https://news.yahoo.com/tens-thousands-protest-india-controversial-hindu-temple-102534506.html,,,,
2017-04-26T05:29:00.0000000Z,What does data say about intolerance <b>in India</b>?,"Two years ago, scores of writers returned the prestigious Sahitya Akademi awards they had received to <b>protest</b> against what they ... 2016 report (for the year 2015) ranks <b>India</b> as a “free&quot; country based on <b>political</b> rights and civil liberty.","[{'name': 'Mint', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_e3f5b5599888e2963fb8345a1990017f&pid=news'}}, '_type': 'Organization'}]",https://www.livemint.com/Politics/BdrsdNcqeaVU5tArqSO61L/What-does-data-say-about-intolerance-in-India.html,,,,
2018-12-17T11:33:00.0000000Z,Kashmir Locked Down As <b>India</b> Battles <b>Protests</b> After Killings,Unrest has intensified over recent weeks in the Muslim-majority region at the heart of decades of hostility between <b>India</b> and Pakistan. Seven civilians were killed on Saturday when security forces opened fire at a <b>protest</b> over the killing of three militants.,"[{'name': 'LEADERSHIP Newspaper', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_4af5806fca75a758224e1cb3fa50d007&pid=news'}}, '_type': 'Organization'}]",https://leadership.ng/2018/12/17/kashmir-locked-down-as-india-battles-protests-after-killings/,,,,
2018-11-21T18:11:00.0000000Z,Why farmer <b>protests</b> may be the new normal,"<b>India</b> saw an almost eight-fold rise in ‘agrarian <b>riots</b>’ between 2014 and 2016 ... Ahead of the general elections of 2019, farm <b>protests</b> and strikes have caught the attention of our <b>political</b> class. Politicians cutting across party lines have been ...","[{'name': 'Mint', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_e3f5b5599888e2963fb8345a1990017f&pid=news'}}, '_type': 'Organization'}]",https://www.livemint.com/Politics/cjW8GmkZpCq8TzSpeDky0H/Why-farmer-protests-may-be-the-new-normal.html,,,,
2018-04-19T06:29:00.0000000Z,Indian Prime Minister Modi confronted by angry <b>protests</b> in London,"Sexual violence against women is a highly charged <b>political</b> issue <b>in India</b>, where <b>protests</b> regularly erupt about entrenched ... as chief minister of Gujarat, in <b>riots</b> that killed about 1,000 people in 2002. Britain ended a boycott of Modi in 2012 after ...","[{'name': 'Yahoo News', '_type': 'Organization'}]",https://news.yahoo.com/indian-prime-minister-modi-confronted-angry-protests-london-061737588.html,,,,
2017-06-28T19:41:00.0000000Z,<b>Protests</b> held across <b>India</b> after attacks against Muslims,NEW DELHI/MUMBAI (Reuters) - <b>Protests</b> were held in cities across <b>India</b> on Wednesday against a wave of attacks ... this week described the lynchings as &quot;a protracted <b>riot</b> in slow motion&quot;. &quot;What makes this violence chilling ... is that it is acquiring ...,"[{'name': 'Business Insider', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_86ac6d5fd1859e509650fb5feef96bf7&pid=news'}}, '_type': 'Organization'}]",https://www.businessinsider.com/r-protests-held-across-india-after-attacks-against-muslims-2017-6,,,,
2018-12-13T10:46:00.0000000Z,<b>India</b>&#39;s Modi Speaks Out <b>Against Cow Vigilantes After &#39;Beef Lynchings</b>&#39; Spark Nationwide <b>Protests</b>,"<b>India</b>’s Prime Minister Narendra Modi has spoken out against violence by cow vigilante groups, a day after thousands of Indians gathered in cities across the country on Wednesday evening to <b>protest</b> against ... to affect his <b>political</b> party’s electoral ...","[{'name': 'Time', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_f55c44e0a7d524a26ea2342e45f2f4a0&pid=news'}}, '_type': 'Organization'}]",http://time.com/4838566/india-beef-lynching-attacks-muslims/,,,,
